SPAWN EXTRACTION REPORT
======================================================================

Graph Points: 5345 extracted from original game graph

Only in original (3295):
  DV_zone_mine_gravitational (section=zone_mine_gravitational_average, gvid=1435, level=l04_darkvalley)
  agr_smart_terrain_1_6_animpoint_camp_14 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_15 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_16 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_17 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_18 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_19 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_2 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_3 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_4 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_5 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_6 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_7 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_8 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_9 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_camp1 (section=camp_zone, gvid=1039, level=l03_agroprom)
  agr_smart_terrain_1_6_camp2 (section=camp_zone, gvid=1018, level=l03_agroprom)
  agr_smart_terrain_1_6_camp3 (section=camp_zone, gvid=1080, level=l03_agroprom)
  agr_smart_terrain_1_6_minigun (section=m_car, gvid=873, level=l03_agroprom)
  agr_smart_terrain_5_4 (section=smart_terrain, gvid=1029, level=l03_agroprom)
  agr_smart_terrain_6_6 (section=smart_terrain, gvid=1032, level=l03_agroprom)
  agr_smart_terrain_7_4 (section=smart_terrain, gvid=1033, level=l03_agroprom)
  agr_torrid_zone (section=fireball_electric_zone, gvid=873, level=l03_agroprom)
  agr_ug_main_story_1_quest_case (section=main_story_1_quest_case, gvid=3616, level=l03u_agr_underground)
  agru_torrid_zone (section=fireball_zone, gvid=3616, level=l03u_agr_underground)
  bar_arena_totalizator (section=space_restrictor, gvid=1672, level=l05_bar)
  bar_arena_totalizator_remove (section=space_restrictor, gvid=1672, level=l05_bar)
  bar_awr_lamp_bar_visitors_stalker_mechanic_01 (section=lights_hanging_lamp, gvid=1730, level=l05_bar)
  bar_awr_lamp_bar_visitors_stalker_mechanic_02 (section=lights_hanging_lamp, gvid=1730, level=l05_bar)
  bar_awr_tiski_01 (section=physic_object, gvid=1730, level=l05_bar)
  bar_bar_entry_zone (section=space_restrictor, gvid=1672, level=l05_bar)
  bar_bar_room_mlr_PO_03 (section=physic_object, gvid=1738, level=l05_bar)
  bar_bar_room_mlr_PO_04 (section=physic_object, gvid=1738, level=l05_bar)
  bar_bar_room_mlr_PO_05 (section=physic_object, gvid=1738, level=l05_bar)
  bar_bar_room_mlr_PO_06 (section=physic_object, gvid=1738, level=l05_bar)
  bar_bar_room_mlr_PO_07 (section=physic_object, gvid=1738, level=l05_bar)
  bar_bar_room_mlr_PO_08 (section=physic_object, gvid=1738, level=l05_bar)
  bar_bar_room_mlr_PO_09 (section=physic_object, gvid=1737, level=l05_bar)
  bar_dolg_general_animpoint_kamp5 (section=smart_cover, gvid=1738, level=l05_bar)
  bar_dolg_general_animpoint_kamp6 (section=smart_cover, gvid=1738, level=l05_bar)
  bar_dolg_general_animpoint_kamp7 (section=smart_cover, gvid=1738, level=l05_bar)
  bar_dolg_general_animpoint_kamp8 (section=smart_cover, gvid=1738, level=l05_bar)
  bar_physic_object_004644 (section=physic_object, gvid=1735, level=l05_bar)
  bar_physic_object_004645 (section=physic_object, gvid=1736, level=l05_bar)
  bar_physic_object_004646 (section=physic_object, gvid=1736, level=l05_bar)
  bar_physic_object_mlr_0002 (section=physic_object, gvid=1676, level=l05_bar)
  bar_physic_object_mlr_0003 (section=physic_object, gvid=1676, level=l05_bar)
  bar_smart_cover_mlr (section=smart_cover, gvid=1744, level=l05_bar)
  bar_smart_cover_mlr_1 (section=smart_cover, gvid=1744, level=l05_bar)
  bar_smart_cover_otzhiman_1 (section=smart_cover, gvid=21, level=k00_marsh)
  bar_smart_cover_otzhiman_2 (section=smart_cover, gvid=21, level=k00_marsh)
  bar_smart_cover_otzhiman_3 (section=smart_cover, gvid=21, level=k00_marsh)
  bar_smart_cover_otzhiman_4 (section=smart_cover, gvid=21, level=k00_marsh)
  bar_smart_terrain_bar100rent_spot (section=space_restrictor, gvid=1738, level=l05_bar)
  bar_vedro_0001 (section=vedro_01, gvid=1735, level=l05_bar)
  bar_visiter_mlr_plase (section=smart_cover, gvid=1735, level=l05_bar)
  bar_visitors_animp_19 (section=smart_cover, gvid=1738, level=l05_bar)
  bar_visitors_animpoint_kamp10 (section=smart_cover, gvid=1738, level=l05_bar)
  bar_visitors_animpoint_kamp11 (section=smart_cover, gvid=1738, level=l05_bar)
  bar_visitors_animpoint_kamp12 (section=smart_cover, gvid=1738, level=l05_bar)
  bar_visitors_animpoint_kamp13 (section=smart_cover, gvid=1738, level=l05_bar)
  bar_visitors_animpoint_kamp14 (section=smart_cover, gvid=1738, level=l05_bar)
  bar_visitors_animpoint_kamp15 (section=smart_cover, gvid=1738, level=l05_bar)
  bar_visitors_camp5 (section=camp_zone, gvid=1738, level=l05_bar)
  bar_visitors_camp6 (section=camp_zone, gvid=1738, level=l05_bar)
  bar_zone_burning_fuzz1 (section=zone_burning_fuzz1, gvid=1883, level=l06_rostok)
  bar_zone_burning_fuzz1 (section=zone_burning_fuzz1, gvid=1690, level=l05_bar)
  bar_zone_burning_fuzz1_0000 (section=zone_burning_fuzz1, gvid=1883, level=l06_rostok)
  bar_zone_burning_fuzz1_0001 (section=zone_burning_fuzz1, gvid=1881, level=l06_rostok)
  bar_zone_burning_fuzz1_0002 (section=zone_burning_fuzz1, gvid=1881, level=l06_rostok)
  bar_zone_burning_fuzz1_0003 (section=zone_burning_fuzz1, gvid=1890, level=l06_rostok)
  bar_zone_burning_fuzz1_0004 (section=zone_burning_fuzz1, gvid=1883, level=l06_rostok)
  bar_zone_burning_fuzz1_0005 (section=zone_burning_fuzz1, gvid=1881, level=l06_rostok)
  bar_zone_burning_fuzz1_0006 (section=zone_burning_fuzz1, gvid=1881, level=l06_rostok)
  bar_zone_burning_fuzz1_0007 (section=zone_burning_fuzz1, gvid=1883, level=l06_rostok)
  bar_zone_burning_fuzz1_0008 (section=zone_burning_fuzz1, gvid=1880, level=l06_rostok)
  bar_zone_burning_fuzz1_0009 (section=zone_burning_fuzz1, gvid=1880, level=l06_rostok)
  bar_zone_burning_fuzz1_0010 (section=zone_burning_fuzz1, gvid=1880, level=l06_rostok)
  bar_zone_burning_fuzz1_0011 (section=zone_burning_fuzz1, gvid=1883, level=l06_rostok)
  bar_zone_burning_fuzz1_0012 (section=zone_burning_fuzz1, gvid=1883, level=l06_rostok)
  bar_zone_burning_fuzz1_0013 (section=zone_burning_fuzz1, gvid=1878, level=l06_rostok)
  bar_zone_burning_fuzz1_0014 (section=zone_burning_fuzz1, gvid=1879, level=l06_rostok)
  bar_zone_burning_fuzz1_0015 (section=zone_burning_fuzz1, gvid=1880, level=l06_rostok)
  bar_zone_burning_fuzz1_0016 (section=zone_burning_fuzz1, gvid=1880, level=l06_rostok)
  bar_zone_burning_fuzz1_0017 (section=zone_burning_fuzz1, gvid=1880, level=l06_rostok)
  bar_zone_burning_fuzz1_0018 (section=zone_burning_fuzz1, gvid=1880, level=l06_rostok)
  bar_zone_burning_fuzz1_0019 (section=zone_burning_fuzz1, gvid=1883, level=l06_rostok)
  bar_zone_burning_fuzz1_0020 (section=zone_burning_fuzz1, gvid=1880, level=l06_rostok)
  bar_zone_burning_fuzz1_0021 (section=zone_burning_fuzz1, gvid=1883, level=l06_rostok)
  bar_zone_burning_fuzz1_0022 (section=zone_burning_fuzz1, gvid=1883, level=l06_rostok)
  bar_zone_burning_fuzz1_0023 (section=zone_burning_fuzz1, gvid=1879, level=l06_rostok)
  bar_zone_burning_fuzz1_0024 (section=zone_burning_fuzz1, gvid=1890, level=l06_rostok)
  bar_zone_burning_fuzz1_0025 (section=zone_burning_fuzz1, gvid=1878, level=l06_rostok)
  bar_zone_burning_fuzz1_0026 (section=zone_burning_fuzz1, gvid=1872, level=l06_rostok)
  bar_zone_burning_fuzz1_0028 (section=zone_burning_fuzz1, gvid=1835, level=l06_rostok)
  bar_zone_burning_fuzz1_0029 (section=zone_burning_fuzz1, gvid=1959, level=l06_rostok)
  bar_zone_burning_fuzz1_0030 (section=zone_burning_fuzz1, gvid=1959, level=l06_rostok)
  bar_zone_burning_fuzz1_0031 (section=zone_burning_fuzz1, gvid=1959, level=l06_rostok)
  bar_zone_burning_fuzz1_0032 (section=zone_burning_fuzz1, gvid=1873, level=l06_rostok)
  bar_zone_burning_fuzz1_0033 (section=zone_burning_fuzz1, gvid=1834, level=l06_rostok)
  bar_zone_burning_fuzz1_0034 (section=zone_burning_fuzz1, gvid=1961, level=l06_rostok)
  bar_zone_burning_fuzz1_0035 (section=zone_burning_fuzz1, gvid=1825, level=l06_rostok)
  bar_zone_burning_fuzz1_0036 (section=zone_burning_fuzz1, gvid=1826, level=l06_rostok)
  bar_zone_burning_fuzz1_0037 (section=zone_burning_fuzz1, gvid=1826, level=l06_rostok)
  bar_zone_burning_fuzz1_0038 (section=zone_burning_fuzz1, gvid=1829, level=l06_rostok)
  bar_zone_burning_fuzz1_0039 (section=zone_burning_fuzz1, gvid=1830, level=l06_rostok)
  bar_zone_burning_fuzz1_0040 (section=zone_burning_fuzz1, gvid=1845, level=l06_rostok)
  bar_zone_burning_fuzz1_0041 (section=zone_burning_fuzz1, gvid=1843, level=l06_rostok)
  bar_zone_burning_fuzz1_0042 (section=zone_burning_fuzz1, gvid=1845, level=l06_rostok)
  bar_zone_burning_fuzz1_0043 (section=zone_burning_fuzz1, gvid=1848, level=l06_rostok)
  bar_zone_burning_fuzz1_0044 (section=zone_burning_fuzz1, gvid=1849, level=l06_rostok)
  bar_zone_burning_fuzz1_0045 (section=zone_burning_fuzz1, gvid=1849, level=l06_rostok)
  bar_zone_burning_fuzz1_0046 (section=zone_burning_fuzz1, gvid=1865, level=l06_rostok)
  bar_zone_burning_fuzz1_0047 (section=zone_burning_fuzz1, gvid=1887, level=l06_rostok)
  bar_zone_burning_fuzz1_0048 (section=zone_burning_fuzz1, gvid=1880, level=l06_rostok)
  bar_zone_burning_fuzz1_0049 (section=zone_burning_fuzz1, gvid=1880, level=l06_rostok)
  bar_zone_burning_fuzz1_0050 (section=zone_burning_fuzz1, gvid=1879, level=l06_rostok)
  bar_zone_burning_fuzz1_0051 (section=zone_burning_fuzz1, gvid=1881, level=l06_rostok)
  bar_zone_burning_fuzz1_0052 (section=zone_burning_fuzz1, gvid=1868, level=l06_rostok)
  bar_zone_burning_fuzz1_0053 (section=zone_burning_fuzz1, gvid=1934, level=l06_rostok)
  bar_zone_burning_fuzz1_0054 (section=zone_burning_fuzz1, gvid=1901, level=l06_rostok)
  bar_zone_burning_fuzz1_0055 (section=zone_burning_fuzz1, gvid=1901, level=l06_rostok)
  bar_zone_burning_fuzz1_0056 (section=zone_burning_fuzz1, gvid=1901, level=l06_rostok)
  bar_zone_burning_fuzz1_0059 (section=zone_burning_fuzz1, gvid=1902, level=l06_rostok)
  bar_zone_burning_fuzz1_0060 (section=zone_burning_fuzz1, gvid=1908, level=l06_rostok)
  bar_zone_burning_fuzz1_0061 (section=zone_burning_fuzz1, gvid=1931, level=l06_rostok)
  bar_zone_burning_fuzz1_0062 (section=zone_burning_fuzz1, gvid=1932, level=l06_rostok)
  bar_zone_burning_fuzz1_0063 (section=zone_burning_fuzz1, gvid=1819, level=l06_rostok)
  bar_zone_burning_fuzz_0002 (section=zone_burning_fuzz1, gvid=1690, level=l05_bar)
  bar_zone_burning_fuzz_0003 (section=zone_burning_fuzz1, gvid=1693, level=l05_bar)
  bar_zone_burning_fuzz_0007 (section=zone_burning_fuzz1, gvid=1697, level=l05_bar)
  bar_zone_burning_fuzz_0011 (section=zone_burning_fuzz1, gvid=1697, level=l05_bar)
  bar_zone_burning_fuzz_0012 (section=zone_burning_fuzz1, gvid=1697, level=l05_bar)
  bar_zone_burning_fuzz_0013 (section=zone_burning_fuzz1, gvid=1690, level=l05_bar)
  bar_zone_burning_fuzz_0016 (section=zone_burning_fuzz1, gvid=1705, level=l05_bar)
  bar_zone_burning_fuzz_0017 (section=zone_burning_fuzz1, gvid=1689, level=l05_bar)
  bar_zone_burning_fuzz_0018 (section=zone_burning_fuzz1, gvid=1689, level=l05_bar)
  bar_zone_burning_fuzz_0019 (section=zone_burning_fuzz1, gvid=1689, level=l05_bar)
  bar_zone_burning_fuzz_0020 (section=zone_burning_fuzz1, gvid=1689, level=l05_bar)
  bar_zone_burning_fuzz_0022 (section=zone_burning_fuzz1, gvid=1689, level=l05_bar)
  bar_zone_burning_fuzz_0024 (section=zone_burning_fuzz1, gvid=1689, level=l05_bar)
  bar_zone_burning_fuzz_0025 (section=zone_burning_fuzz1, gvid=1692, level=l05_bar)
  bar_zone_burning_fuzz_0027 (section=zone_burning_fuzz1, gvid=1718, level=l05_bar)
  bar_zone_burning_fuzz_0028 (section=zone_burning_fuzz1, gvid=1718, level=l05_bar)
  bar_zone_burning_fuzz_0031 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0039 (section=zone_burning_fuzz1, gvid=1745, level=l05_bar)
  bar_zone_burning_fuzz_0040 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0041 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0042 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0043 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0044 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0045 (section=zone_burning_fuzz1, gvid=1696, level=l05_bar)
  bar_zone_burning_fuzz_0046 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0047 (section=zone_burning_fuzz1, gvid=1711, level=l05_bar)
  bar_zone_burning_fuzz_0048 (section=zone_burning_fuzz1, gvid=1714, level=l05_bar)
  bar_zone_burning_fuzz_0049 (section=zone_burning_fuzz1, gvid=1712, level=l05_bar)
  bar_zone_burning_fuzz_0050 (section=zone_burning_fuzz1, gvid=1682, level=l05_bar)
  bar_zone_burning_fuzz_0051 (section=zone_burning_fuzz1, gvid=1763, level=l05_bar)
  bar_zone_burning_fuzz_0071 (section=zone_burning_fuzz1, gvid=1729, level=l05_bar)
  bar_zone_burning_fuzz_0072 (section=zone_burning_fuzz1, gvid=1729, level=l05_bar)
  bar_zone_burning_fuzz_0073 (section=zone_burning_fuzz1, gvid=1729, level=l05_bar)
  bar_zone_burning_fuzz_0074 (section=zone_burning_fuzz1, gvid=1729, level=l05_bar)
  bar_zone_burning_fuzz_0075 (section=zone_burning_fuzz1, gvid=1729, level=l05_bar)
  bar_zone_burning_fuzz_0076 (section=zone_burning_fuzz1, gvid=1729, level=l05_bar)
  bar_zone_burning_fuzz_0077 (section=zone_burning_fuzz1, gvid=1729, level=l05_bar)
  bar_zone_burning_fuzz_0078 (section=zone_burning_fuzz1, gvid=1729, level=l05_bar)
  bar_zone_burning_fuzz_0079 (section=zone_burning_fuzz1, gvid=1729, level=l05_bar)
  bar_zone_burning_fuzz_0080 (section=zone_burning_fuzz1, gvid=1729, level=l05_bar)
  bar_zone_burning_fuzz_0081 (section=zone_burning_fuzz1, gvid=1729, level=l05_bar)
  bar_zone_burning_fuzz_0085 (section=zone_burning_fuzz1, gvid=1729, level=l05_bar)
  bar_zone_burning_fuzz_0086 (section=zone_burning_fuzz1, gvid=1729, level=l05_bar)
  bar_zone_burning_fuzz_0087 (section=zone_burning_fuzz1, gvid=1729, level=l05_bar)
  bar_zone_burning_fuzz_0110 (section=zone_burning_fuzz1, gvid=1718, level=l05_bar)
  bar_zone_burning_fuzz_0111 (section=zone_burning_fuzz1, gvid=1718, level=l05_bar)
  bar_zone_burning_fuzz_0113 (section=zone_burning_fuzz1, gvid=1718, level=l05_bar)
  bar_zone_burning_fuzz_0114 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0115 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0116 (section=zone_burning_fuzz1, gvid=1718, level=l05_bar)
  bar_zone_burning_fuzz_0117 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0118 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0119 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0120 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0122 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0123 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0124 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0125 (section=zone_burning_fuzz1, gvid=1696, level=l05_bar)
  bar_zone_burning_fuzz_0126 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0127 (section=zone_burning_fuzz1, gvid=1696, level=l05_bar)
  bar_zone_burning_fuzz_0128 (section=zone_burning_fuzz1, gvid=1696, level=l05_bar)
  bar_zone_burning_fuzz_0129 (section=zone_burning_fuzz1, gvid=1696, level=l05_bar)
  bar_zone_burning_fuzz_0130 (section=zone_burning_fuzz1, gvid=1696, level=l05_bar)
  bar_zone_burning_fuzz_0131 (section=zone_burning_fuzz1, gvid=1696, level=l05_bar)
  bar_zone_burning_fuzz_0132 (section=zone_burning_fuzz1, gvid=1696, level=l05_bar)
  bar_zone_burning_fuzz_0133 (section=zone_burning_fuzz1, gvid=1696, level=l05_bar)
  bar_zone_burning_fuzz_0134 (section=zone_burning_fuzz1, gvid=1696, level=l05_bar)
  bar_zone_burning_fuzz_0135 (section=zone_burning_fuzz1, gvid=1696, level=l05_bar)
  bar_zone_burning_fuzz_0136 (section=zone_burning_fuzz1, gvid=1696, level=l05_bar)
  bar_zone_burning_fuzz_0137 (section=zone_burning_fuzz1, gvid=1696, level=l05_bar)
  bar_zone_burning_fuzz_0138 (section=zone_burning_fuzz1, gvid=1696, level=l05_bar)
  bar_zone_burning_fuzz_0140 (section=zone_burning_fuzz1, gvid=1696, level=l05_bar)
  bar_zone_burning_fuzz_0141 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0142 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0143 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0144 (section=zone_burning_fuzz1, gvid=1718, level=l05_bar)
  bar_zone_burning_fuzz_0146 (section=zone_burning_fuzz1, gvid=1718, level=l05_bar)
  bar_zone_burning_fuzz_0147 (section=zone_burning_fuzz1, gvid=1718, level=l05_bar)
  bar_zone_burning_fuzz_0148 (section=zone_burning_fuzz1, gvid=1718, level=l05_bar)
  bar_zone_burning_fuzz_0149 (section=zone_burning_fuzz1, gvid=1709, level=l05_bar)
  bar_zone_burning_fuzz_0150 (section=zone_burning_fuzz1, gvid=1763, level=l05_bar)
  bar_zone_burning_fuzz_0151 (section=zone_burning_fuzz1, gvid=1682, level=l05_bar)
  bar_zone_burning_fuzz_0152 (section=zone_burning_fuzz1, gvid=1682, level=l05_bar)
  bar_zone_burning_fuzz_0153 (section=zone_burning_fuzz1, gvid=1681, level=l05_bar)
  bar_zone_burning_fuzz_0154 (section=zone_burning_fuzz1, gvid=1763, level=l05_bar)
  bar_zone_burning_fuzz_0155 (section=zone_burning_fuzz1, gvid=1683, level=l05_bar)
  bar_zone_burning_fuzz_0161 (section=zone_burning_fuzz1, gvid=1725, level=l05_bar)
  bar_zone_burning_fuzz_0162 (section=zone_burning_fuzz1, gvid=1725, level=l05_bar)
  bar_zone_burning_fuzz_0163 (section=zone_burning_fuzz1, gvid=1749, level=l05_bar)
  bar_zone_burning_fuzz_0164 (section=zone_burning_fuzz1, gvid=1745, level=l05_bar)
  bar_zone_burning_fuzz_0165 (section=zone_burning_fuzz1, gvid=1745, level=l05_bar)
  bar_zone_burning_fuzz_0166 (section=zone_burning_fuzz1, gvid=1724, level=l05_bar)
  barman_army_mlr_agr (section=smart_cover, gvid=979, level=l03_agroprom)
  bottle_bar_1 (section=physic_destroyable_object, gvid=2747, level=l10_red_forest)
  box_wooden_01_door_0000 (section=physic_destroyable_object, gvid=2747, level=l10_red_forest)
  box_wooden_01_door_0001 (section=physic_destroyable_object, gvid=2747, level=l10_red_forest)
  bun_main_story_4_lab_x10_documents (section=main_story_4_lab_x10_documents, gvid=3810, level=l10u_bunker)
  cabinet_village_140x210_ph_door_l (section=physic_destroyable_object, gvid=362, level=l01_escape)
  cabinet_village_140x210_ph_door_l_0000 (section=physic_destroyable_object, gvid=362, level=l01_escape)
  cabinet_village_140x210_ph_door_l_0001 (section=physic_destroyable_object, gvid=2747, level=l10_red_forest)
  cabinet_village_140x210_ph_door_r (section=physic_destroyable_object, gvid=362, level=l01_escape)
  cabinet_village_140x210_ph_door_r_0000 (section=physic_destroyable_object, gvid=362, level=l01_escape)
  cabinet_village_140x210_ph_door_r_0001 (section=physic_destroyable_object, gvid=2747, level=l10_red_forest)
  campfire_grill_boar (section=physic_object, gvid=362, level=l01_escape)
  cit_awr_lamp_cit_killers_merc_mechanic_stalker_01 (section=lights_hanging_lamp, gvid=2391, level=l09_deadcity)
  cit_awr_lamp_cit_killers_merc_mechanic_stalker_02 (section=lights_hanging_lamp, gvid=2391, level=l09_deadcity)
  cit_awr_stol_1 (section=physic_object, gvid=2391, level=l09_deadcity)
  cit_awr_tiski_01 (section=physic_object, gvid=2391, level=l09_deadcity)
  cit_guitar_a (section=guitar_a, gvid=2309, level=l09_deadcity)
  cit_killers_2_campfire_4 (section=campfire, gvid=2324, level=l09_deadcity)
  cit_killers_animpoint_camp1 (section=smart_cover, gvid=2367, level=l09_deadcity)
  cit_killers_animpoint_camp10 (section=smart_cover, gvid=2364, level=l09_deadcity)
  cit_killers_animpoint_camp11 (section=smart_cover, gvid=2364, level=l09_deadcity)
  cit_killers_animpoint_camp12 (section=smart_cover, gvid=2364, level=l09_deadcity)
  cit_killers_animpoint_camp2 (section=smart_cover, gvid=2367, level=l09_deadcity)
  cit_killers_animpoint_camp3 (section=smart_cover, gvid=2367, level=l09_deadcity)
  cit_killers_animpoint_camp4 (section=smart_cover, gvid=2367, level=l09_deadcity)
  cit_killers_animpoint_camp5 (section=smart_cover, gvid=2367, level=l09_deadcity)
  cit_killers_animpoint_camp6 (section=smart_cover, gvid=2367, level=l09_deadcity)
  cit_killers_animpoint_camp7 (section=smart_cover, gvid=2367, level=l09_deadcity)
  cit_killers_animpoint_camp8 (section=smart_cover, gvid=2367, level=l09_deadcity)
  cit_killers_animpoint_camp9 (section=smart_cover, gvid=2367, level=l09_deadcity)
  cit_killers_camp (section=camp_zone, gvid=2309, level=l09_deadcity)
  cit_killers_camp_0000 (section=camp_zone, gvid=2309, level=l09_deadcity)
  cit_killers_camp_0001 (section=camp_zone, gvid=2309, level=l09_deadcity)
  cit_killers_campfire_2 (section=campfire, gvid=2367, level=l09_deadcity)
  cit_killers_campfire_4 (section=campfire, gvid=2344, level=l09_deadcity)
  cit_killers_campfire_5 (section=campfire, gvid=2355, level=l09_deadcity)
  cit_killers_campfire_6 (section=campfire, gvid=2361, level=l09_deadcity)
  cit_killers_merc_mechanic_smart_cover (section=smart_cover, gvid=2391, level=l09_deadcity)
  cit_killers_merc_medic_smart_cover (section=smart_cover, gvid=2366, level=l09_deadcity)
  cit_mine_actor (section=mine_actor, gvid=2309, level=l09_deadcity)
  cit_mine_actor_0000 (section=mine_actor, gvid=2309, level=l09_deadcity)
  cit_mine_actor_0001 (section=mine_actor, gvid=2309, level=l09_deadcity)
  cit_mine_actor_0002 (section=mine_actor, gvid=2309, level=l09_deadcity)
  cit_torrid_zone (section=fireball_zone, gvid=2309, level=l09_deadcity)
  cit_zone_burning_fuzz1 (section=zone_burning_fuzz1, gvid=2396, level=l09_deadcity)
  cit_zone_burning_fuzz1_0000 (section=zone_burning_fuzz1, gvid=2352, level=l09_deadcity)
  cit_zone_burning_fuzz1_0001 (section=zone_burning_fuzz1, gvid=2396, level=l09_deadcity)
  cit_zone_burning_fuzz1_0002 (section=zone_burning_fuzz1, gvid=2396, level=l09_deadcity)
  cit_zone_burning_fuzz1_0003 (section=zone_burning_fuzz1, gvid=2344, level=l09_deadcity)
  cit_zone_burning_fuzz1_0004 (section=zone_burning_fuzz1, gvid=2344, level=l09_deadcity)
  cit_zone_burning_fuzz1_0005 (section=zone_burning_fuzz1, gvid=2344, level=l09_deadcity)
